scope,seed,metric,window_801_900_mean,window_901_1000_mean,absolute_change,relative_change,slope_801_1000,projected_relative_slope_over_200,last100_three_seed_means_sample_std,late_trend,obvious_degradation
three_seed_episode_mean,ALL,cumulative_scaled_reward,89.25520869458701,89.44463616158151,0.18942746699450197,0.0021223127452727588,0.002761084377191472,0.006149482575134273,1.4302506307080012,no_clear_monotonic_improvement,False
individual_seed,20260801,cumulative_scaled_reward,88.804266506402,87.84124735284475,-0.963019153557255,-0.010844289260447074,-0.0012841218245011868,-0.0028932548298889,,stable_or_fluctuating,False
individual_seed,20260811,cumulative_scaled_reward,89.93239285639422,90.58907699212224,0.6566841357280282,0.007301975571545551,0.007858076635214723,0.01732488940755853,,stable_or_fluctuating,False
individual_seed,20260821,cumulative_scaled_reward,89.02896672096476,89.90358413977752,0.8746174188127611,0.009823964615404258,0.001709298320860876,0.003801995379991458,,stable_or_fluctuating,False
three_seed_episode_mean,ALL,service_rate_by_release_horizon,0.8510019748466897,0.850359629976094,-0.000642344870595668,-0.0007548100822108999,-5.026318361419318e-06,-0.0011758080717081077,0.00201860208133881,no_clear_monotonic_improvement,False
individual_seed,20260801,service_rate_by_release_horizon,0.8506984720922979,0.8482195198004365,-0.002478952291861347,-0.002914019917967349,-8.827863353272098e-06,-0.0020680748755200233,,stable_or_fluctuating,False
individual_seed,20260811,service_rate_by_release_horizon,0.8523760523854069,0.8522294979731839,-0.00014655441222299892,-0.00017193633234164756,2.7619960845167217e-07,6.448849362284464e-05,,stable_or_fluctuating,False
individual_seed,20260821,service_rate_by_release_horizon,0.8499314000623636,0.8506298721546617,0.0006984720922981191,0.0008217981971802299,-6.527291339439141e-06,-0.0015276497210300103,,stable_or_fluctuating,False
three_seed_episode_mean,ALL,mean_waiting_time,518.2460710944808,517.7632366697849,-0.48283442469596594,-0.0009316702076993478,-0.007438875167388894,-0.0028577661363004404,4.2028068621813786,no_clear_monotonic_improvement,False
individual_seed,20260801,mean_waiting_time,519.7601184908013,522.5661053944497,2.805986903648318,0.005398619101049743,0.0030923294130062533,0.0011807695884201229,,stable_or_fluctuating,False
individual_seed,20260811,mean_waiting_time,516.5319145618959,514.7593701278453,-1.7725444340505874,-0.003431626166901995,-0.020953682167591955,-0.008086527663433629,,stable_or_fluctuating,False
individual_seed,20260821,mean_waiting_time,518.4461802307453,515.9642344870596,-2.481945743685742,-0.004787277519493152,-0.0044552727475809595,-0.0017142118140998845,,stable_or_fluctuating,False
