method,metric,sample_size,mean,sample_std
Uniform,cumulative_scaled_reward,1,-37.81296938842732,
Uniform,service_rate_by_release_horizon,1,0.7065793576551294,
Uniform,mean_waiting_time,1,923.5042719052072,
Uniform,median_waiting_time,1,597.0333333333333,
Uniform,p95_waiting_time,1,2715.595,
Uniform,total_waiting_cost,1,29376.149999999998,
Uniform,total_loaded_travel_cost,1,4588.019586279258,
Uniform,total_rebalancing_cost,1,1887.1273525634745,
Uniform,total_rebalanced_vehicles,1,2025.0,
Uniform,backlog_at_release_horizon,1,941.0,
Uniform,matched_by_release_horizon,1,2266.0,
Uniform,total_episode_steps,1,323.0,
Uniform,queue_cleared_step,1,299.0,
Uniform,maximum_vehicle_conservation_error,1,1.4210854715202004e-14,
Uniform,maximum_task_flow_conservation_error,1,0.0,
Demand-driven,cumulative_scaled_reward,1,63.71851578288862,
Demand-driven,service_rate_by_release_horizon,1,0.8038665419395074,
Demand-driven,mean_waiting_time,1,610.6464608668538,
Demand-driven,median_waiting_time,1,491.04999999999995,
Demand-driven,p95_waiting_time,1,1469.5,
Demand-driven,total_waiting_cost,1,19342.8,
Demand-driven,total_loaded_travel_cost,1,4588.019586279258,
Demand-driven,total_rebalancing_cost,1,1767.3288354318802,
Demand-driven,total_rebalanced_vehicles,1,1694.0,
Demand-driven,backlog_at_release_horizon,1,629.0,
Demand-driven,matched_by_release_horizon,1,2578.0,
Demand-driven,total_episode_steps,1,219.0,
Demand-driven,queue_cleared_step,1,200.0,
Demand-driven,maximum_vehicle_conservation_error,1,2.1316282072803006e-14,
Demand-driven,maximum_task_flow_conservation_error,1,0.0,
GNN-A2C,cumulative_scaled_reward,3,95.61887402149314,4.079404034974979
GNN-A2C,service_rate_by_release_horizon,3,0.8508471052905104,0.00794574986118547
GNN-A2C,mean_waiting_time,3,506.99819145618966,12.175776140199789
GNN-A2C,median_waiting_time,3,395.1499999999999,9.223264666651973
GNN-A2C,p95_waiting_time,3,1265.7094444444444,37.481729413339714
GNN-A2C,total_waiting_cost,3,16018.799999999997,390.47714081620705
GNN-A2C,total_loaded_travel_cost,3,4588.019586279258,0.0
GNN-A2C,total_rebalancing_cost,3,1901.2930115714273,17.49437738280653
GNN-A2C,total_rebalanced_vehicles,3,2018.0,38.22302970723278
GNN-A2C,backlog_at_release_horizon,3,478.3333333333333,25.482019804821856
GNN-A2C,matched_by_release_horizon,3,2728.6666666666665,25.482019804821856
GNN-A2C,total_episode_steps,3,216.0,3.0
GNN-A2C,queue_cleared_step,3,190.66666666666666,3.2145502536643185
GNN-A2C,maximum_vehicle_conservation_error,3,8.548302806351178e-11,6.859212194747174e-12
GNN-A2C,maximum_task_flow_conservation_error,3,0.0,0.0
